Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
0,32570,2997046032,4.59163e-41,0,0
0,343,289,4.59163e-41,0,0
0,343,289,0.536846,0.603936,2.9159e-07
5,32570,2997046032,4.59163e-41,0,0
5,400,193,4.59163e-41,0,0
5,400,193,0.625807,0.403555,-0.0198628
6,32570,2997046032,4.59163e-41,0,0
6,416,156,4.59163e-41,0,0
6,416,156,0.650076,0.326624,-0.0353174
9,32570,2997046032,4.59163e-41,0,0
9,374,183,4.59163e-41,0,0
9,374,183,0.584774,0.38318,-0.0187791
10,32570,2997046032,4.59163e-41,0,0
10,376,138,4.59163e-41,0,0
10,376,138,0.588608,0.289031,-0.0315035
0,32570,2997046032,4.59163e-41,0,0
0,342,295,4.59163e-41,0,0
0,342,295,0.535808,0.615663,4.67019e-07
5,32570,2997046032,4.59163e-41,0,0
5,401,197,4.59163e-41,0,0
5,401,197,0.627722,0.41123,-0.023483
6,32570,2997046032,4.59163e-41,0,0
6,417,161,4.59163e-41,0,0
6,417,161,0.651731,0.335571,-0.0428613
9,32570,2997046032,4.59163e-41,0,0
9,375,187,4.59163e-41,0,0
9,375,187,0.586519,0.390927,-0.024198
10,32570,2997046032,4.59163e-41,0,0
10,378,141,4.59163e-41,0,0
10,378,141,0.591261,0.295624,-0.0401198
0,32570,2997046032,4.59163e-41,0,0
0,344,302,4.59163e-41,0,0
0,344,302,0.537536,0.630596,5.01454e-07
5,32570,2997046032,4.59163e-41,0,0
5,401,202,4.59163e-41,0,0
5,401,202,0.627857,0.421058,-0.0257769
6,32570,2997046032,4.59163e-41,0,0
6,417,163,4.59163e-41,0,0
6,417,163,0.652686,0.341637,-0.047031
9,32570,2997046032,4.59163e-41,0,0
9,375,192,4.59163e-41,0,0
9,375,192,0.586015,0.401003,-0.0275633
10,32570,2997046032,4.59163e-41,0,0
10,378,145,4.59163e-41,0,0
10,378,145,0.591641,0.304006,-0.0451241
0,32570,2997046032,4.59163e-41,0,0
0,341,307,4.59163e-41,0,0
0,341,307,0.53385,0.640315,5.37725e-07
5,32570,2997046032,4.59163e-41,0,0
5,402,206,4.59163e-41,0,0
5,402,206,0.62917,0.430435,-0.02894
6,32570,2997046032,4.59163e-41,0,0
6,418,167,4.59163e-41,0,0
6,418,167,0.654018,0.349163,-0.0512629
9,32570,2997046032,4.59163e-41,0,0
9,374,196,4.59163e-41,0,0
9,374,196,0.585553,0.409156,-0.0311204
10,32570,2997046032,4.59163e-41,0,0
10,378,148,4.59163e-41,0,0
10,378,148,0.591017,0.310372,-0.0492363
0,32570,2997046032,4.59163e-41,0,0
0,338,314,4.59163e-41,0,0
0,338,314,0.528878,0.655815,5.25593e-07
5,32570,2997046032,4.59163e-41,0,0
5,401,211,4.59163e-41,0,0
5,401,211,0.628059,0.441453,-0.0282034
6,32570,2997046032,4.59163e-41,0,0
6,418,171,4.59163e-41,0,0
6,418,171,0.653694,0.357366,-0.0503587
9,32570,2997046032,4.59163e-41,0,0
9,373,201,4.59163e-41,0,0
9,373,201,0.58336,0.420056,-0.0302381
10,32570,2997046032,4.59163e-41,0,0
10,377,152,4.59163e-41,0,0
10,377,152,0.589325,0.318659,-0.0477207
0,32570,2997046032,4.59163e-41,0,0
0,336,323,4.59163e-41,0,0
0,336,323,0.525883,0.672954,5.21316e-07
5,32570,2997046032,4.59163e-41,0,0
5,403,216,4.59163e-41,0,0
5,403,216,0.62986,0.450768,-0.0292099
6,32570,2997046032,4.59163e-41,0,0
6,421,174,4.59163e-41,0,0
6,421,174,0.658139,0.364033,-0.0520541
9,32570,2997046032,4.59163e-41,0,0
9,373,205,4.59163e-41,0,0
9,373,205,0.583789,0.427971,-0.0317885
