Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
0,32674,1393709984,4.59135e-41,0,0
0,476,241,4.59135e-41,0,0
0,476,241,0.743875,0.503819,6.99676e-07
0,32679,845699152,4.59121e-41,0,0
0,395,297,4.59121e-41,0,0
0,395,297,0.617785,0.620798,5.14537e-07
5,32679,845699152,4.59121e-41,0,0
5,445,224,4.59121e-41,0,0
5,445,224,0.695636,0.468526,-0.0349884
6,32679,845699152,4.59121e-41,0,0
6,461,193,4.59121e-41,0,0
6,461,193,0.721785,0.402977,-0.0558507
9,32679,845699152,4.59121e-41,0,0
9,421,214,4.59121e-41,0,0
9,421,214,0.659196,0.446415,-0.0333106
10,32679,845699152,4.59121e-41,0,0
10,426,175,4.59121e-41,0,0
10,426,175,0.665916,0.365422,-0.0519446
0,32679,845699152,4.59121e-41,0,0
0,391,302,4.59121e-41,0,0
0,391,302,0.611522,0.630461,4.55062e-07
5,32679,845699152,4.59121e-41,0,0
5,449,221,4.59121e-41,0,0
5,449,221,0.702164,0.460579,-0.0265516
6,32679,845699152,4.59121e-41,0,0
6,465,188,4.59121e-41,0,0
6,465,188,0.728048,0.392873,-0.0456753
9,32679,845699152,4.59121e-41,0,0
9,424,211,4.59121e-41,0,0
9,424,211,0.664047,0.440041,-0.0287721
10,32679,845699152,4.59121e-41,0,0
10,429,171,4.59121e-41,0,0
10,429,171,0.67157,0.356489,-0.0437974
0,32679,845699152,4.59121e-41,0,0
0,395,297,4.59121e-41,0,0
0,395,297,0.617647,0.620353,4.42145e-07
5,32679,845699152,4.59121e-41,0,0
5,453,216,4.59121e-41,0,0
5,453,216,0.709188,0.451437,-0.0336503
6,32679,845699152,4.59121e-41,0,0
6,468,182,4.59121e-41,0,0
6,468,182,0.73276,0.380161,-0.0547719
9,32679,845699152,4.59121e-41,0,0
9,428,207,4.59121e-41,0,0
9,428,207,0.669894,0.431757,-0.0362194
10,32679,845699152,4.59121e-41,0,0
10,433,166,4.59121e-41,0,0
10,433,166,0.677299,0.347507,-0.0524209
0,32679,845699152,4.59121e-41,0,0
0,396,296,4.59121e-41,0,0
0,396,296,0.619425,0.617582,4.29205e-07
5,32679,845699152,4.59121e-41,0,0
5,457,212,4.59121e-41,0,0
5,457,212,0.715163,0.442333,-0.0303206
6,32679,845699152,4.59121e-41,0,0
6,473,176,4.59121e-41,0,0
6,473,176,0.740507,0.368698,-0.0507654
9,32679,845699152,4.59121e-41,0,0
9,432,202,4.59121e-41,0,0
9,432,202,0.675567,0.422765,-0.0332245
10,32679,845699152,4.59121e-41,0,0
10,436,161,4.59121e-41,0,0
10,436,161,0.682778,0.336288,-0.0487939
0,32679,845699152,4.59121e-41,0,0
0,398,295,4.59121e-41,0,0
0,398,295,0.621907,0.615475,4.17305e-07
5,32679,845699152,4.59121e-41,0,0
5,460,208,4.59121e-41,0,0
5,460,208,0.719628,0.434755,-0.0287366
6,32679,845699152,4.59121e-41,0,0
6,477,172,4.59121e-41,0,0
6,477,172,0.745708,0.359432,-0.0477618
9,32679,845699152,4.59121e-41,0,0
9,434,199,4.59121e-41,0,0
9,434,199,0.678923,0.415276,-0.0310968
10,32679,845699152,4.59121e-41,0,0
10,439,157,4.59121e-41,0,0
10,439,157,0.686418,0.328239,-0.0458107
0,32679,845699152,4.59121e-41,0,0
0,400,291,4.59121e-41,0,0
0,400,291,0.62631,0.608031,4.1731e-07
5,32679,845699152,4.59121e-41,0,0
5,464,206,4.59121e-41,0,0
5,464,206,0.72585,0.430989,-0.0323235
6,32679,845699152,4.59121e-41,0,0
6,481,170,4.59121e-41,0,0
6,481,170,0.752124,0.355534,-0.0530119
9,32679,845699152,4.59121e-41,0,0
9,438,197,4.59121e-41,0,0
9,438,197,0.684433,0.411366,-0.0349686
10,32679,845699152,4.59121e-41,0,0
10,442,154,4.59121e-41,0,0
10,442,154,0.691661,0.322254,-0.0513528
0,32679,845699152,4.59121e-41,0,0
0,405,291,4.59121e-41,0,0
0,405,291,0.632837,0.607899,4.02619e-07
5,32679,845699152,4.59121e-41,0,0
5,469,205,4.59121e-41,0,0
5,469,205,0.734323,0.42724,-0.0334836
6,32679,845699152,4.59121e-41,0,0
6,487,168,4.59121e-41,0,0
6,487,168,0.761033,0.350691,-0.0544351
9,32679,845699152,4.59121e-41,0,0
9,443,195,4.59121e-41,0,0
9,443,195,0.692327,0.406644,-0.0366753
10,32679,845699152,4.59121e-41,0,0
10,448,151,4.59121e-41,0,0
10,448,151,0.700836,0.315962,-0.053251
0,32679,845699152,4.59121e-41,0,0
0,408,288,4.59121e-41,0,0
0,408,288,0.638469,0.601708,4.11225e-07
5,32679,845699152,4.59121e-41,0,0
5,476,201,4.59121e-41,0,0
5,476,201,0.745079,0.419554,-0.0281668
6,32679,845699152,4.59121e-41,0,0
6,494,165,4.59121e-41,0,0
6,494,165,0.772957,0.344039,-0.0482458
9,32679,845699152,4.59121e-41,0,0
9,450,191,4.59121e-41,0,0
9,450,191,0.704644,0.398531,-0.032438
10,32679,845699152,4.59121e-41,0,0
10,456,147,4.59121e-41,0,0
10,456,147,0.713428,0.306726,-0.048927
0,32679,845699152,4.59121e-41,0,0
0,415,283,4.59121e-41,0,0
0,415,283,0.649985,0.590457,4.14897e-07
5,32679,845699152,4.59121e-41,0,0
5,484,196,4.59121e-41,0,0
5,484,196,0.756476,0.410223,-0.0305562
6,32679,845699152,4.59121e-41,0,0
6,502,159,4.59121e-41,0,0
6,502,159,0.784964,0.333302,-0.0504269
9,32679,845699152,4.59121e-41,0,0
9,457,186,4.59121e-41,0,0
9,457,186,0.715326,0.387913,-0.0343113
10,32679,845699152,4.59121e-41,0,0
10,464,141,4.59121e-41,0,0
10,464,141,0.725231,0.295143,-0.0502824
0,32679,845699152,4.59121e-41,0,0
0,417,280,4.59121e-41,0,0
0,417,280,0.652156,0.585205,4.40921e-07
5,32679,845699152,4.59121e-41,0,0
5,488,191,4.59121e-41,0,0
5,488,191,0.763898,0.399882,-0.0285813
6,32679,845699152,4.59121e-41,0,0
6,507,154,4.59121e-41,0,0
6,507,154,0.793029,0.321476,-0.0484003
9,32679,845699152,4.59121e-41,0,0
9,461,180,4.59121e-41,0,0
9,461,180,0.72169,0.376979,-0.0322013
10,32679,845699152,4.59121e-41,0,0
10,469,136,4.59121e-41,0,0
10,469,136,0.733474,0.283562,-0.047858
0,32679,845699152,4.59121e-41,0,0
0,420,277,4.59121e-41,0,0
0,420,277,0.657766,0.577486,4.96956e-07
5,32679,845699152,4.59121e-41,0,0
5,491,186,4.59121e-41,0,0
5,491,186,0.767392,0.389387,-0.0310224
6,32679,845699152,4.59121e-41,0,0
6,511,147,4.59121e-41,0,0
6,511,147,0.798685,0.308028,-0.0515585
9,32679,845699152,4.59121e-41,0,0
9,464,176,4.59121e-41,0,0
9,464,176,0.725027,0.366863,-0.03424
10,32679,845699152,4.59121e-41,0,0
10,472,128,4.59121e-41,0,0
10,472,128,0.738501,0.268477,-0.0503693
0,32679,845699152,4.59121e-41,0,0
0,421,274,4.59121e-41,0,0
0,421,274,0.657874,0.572074,4.72634e-07
5,32679,845699152,4.59121e-41,0,0
5,491,184,4.59121e-41,0,0
5,491,184,0.768473,0.38372,-0.0306225
6,32679,845699152,4.59121e-41,0,0
6,512,145,4.59121e-41,0,0
